Depth(ft)	GR (API)
8427	74.4025
8427.5	75.7525
8428	72.275814
8428.5	68.335
8429	64.9006977
8429.5	63.29875
8430	62.36125
8430.5	64.87
8431	68.7148837
8431.5	76.84
8432	84.5165116
8432.5	86.575
8433	87.2227586
8433.5	87.602069
8434	87.9813793
8434.5	88.0268966
8435	86.32
8435.5	84.07
8436	80.26
8436.5	75.6909302
8437	73.57
8437.5	71.6875
8438	68.4923256
8438.5	59.59
8439	52.005
8439.5	49.7834483
8440	51.1110345
8440.5	57.3188372
8441	58.8844828
8441.5	58.8475
8442	52.9563636
8442.5	45.0032558
8443	36.605
8443.5	30.9127586
8444	26.3610345
8444.5	29.165
8445	33.59
8445.5	38.6872093
8446	48.7193182
8446.5	57.9860465
8447	65.335
8447.5	77.7775
8448	79.6525
8448.5	81.6386047
8449	82.72
8449.5	82.8531034
8450	83.8013793
8450.5	85.1934483
8451	86.86
8451.5	91.9453488
8452	96.4931034
8452.5	101.803448
8453	99.31
8453.5	85.0690698
8454	80.95375
8454.5	79.7541379
8455	80.3231034
8455.5	81.0134483
8456	81.9617241
8456.5	80.802093
8457	79.51
8457.5	79.2306897
8458	79.0410345
8458.5	78.8513793
8459	80.35
8459.5	82.874186
8460	86.9725
8460.5	86.6651724
8461	84.01
8461.5	75.1537209
8462	73.255
8462.5	72.505
8463	72.4144828
8463.5	72.9834483
8464	73.8406897
8464.5	74.7086047
8465	71.53
8465.5	66.5996552
8466	58.6341379
8466.5	46.0661364
8467	34.1286047
8467.5	29.21
8468	27.5141379
8468.5	26.4748276
8469	27.6127586
8469.5	31.385
8470	37.3134884
8470.5	36.4475
8471	31.4348837
8471.5	28.4586207
8472	26.9413793
8472.5	25.5974046
8473	24.589771
8473.5	23.5821374
8474	25.2339535
8474.5	30.125
8475	38.7409302
8475.5	46.64
8476	48.0158621
8476.5	45.1710345
8477	41.2351163
8477.5	38.705
8478	36.83
8478.5	40.6231034
8479	45.4253488
8479.5	51.6754545
8480	66.6197674
8480.5	75.71875
8481	76.65625
8481.5	70.675
8482	68.2083721
8482.5	69.8955725
8483	70.1474809
8483.5	70.3993893
8484	71.3827586
8484.5	72.7103448
8485	70.8637209
8485.5	66.43
8486	63.1517241
8486.5	60.8758621
8487	56.875
8487.5	52.7816092
8488	49.183908
8488.5	38.1725
8489	32.4402326
8489.5	30.635
8490	31.76
8490.5	35.9651724
8491	42.2237931
8491.5	52.66
8492	65.86
8492.5	79.3375
8493	81.0775
8493.5	76.895814
8494	70.06
8494.5	62.6290698
8495	64.3404651
8495.5	70.96
8496	78.19
8496.5	82.0831034
8497	80.5658621
8497.5	78.5304651
8498	75.07
8498.5	67.5625
8499	71.8
8499.5	66.3
8500	57.12
8500.5	49.8517241
8501	47.7655172
8501.5	50.465
8502	53.17
8502.5	58.1182759
8503	57.3596552
8503.5	57.6560465
8504	59.395
8504.5	61.27
8505	68.1017241
8505.5	75.1568966
8506	75.7258621
8506.5	75.8137209
8507	75.71125
8507.5	76.27375
8508	77.8397674
8508.5	76.9017241
8509	74.815
8509.5	68.3234884
8510	62.47
8510.5	56.86
8511	53.1529885
8511.5	50.313908
8512	51.5610345
8512.5	53.4755172
8513	56.51
8513.5	59.8631034
8514	63.6562069
8514.5	67.93
8515	69.7509302
8515.5	66.6504651
8516	56.5922727
8516.5	41.6
8517	30.1124138
8517.5	23.0951724
8518	22.4503448
8518.5	24.5365517
8519	30.4325
8519.5	39.0575
8520	49.3123256
8520.5	67.81
8521	78.6617241
8521.5	80.747931
8522	89.29
8522.5	87.6025
8523	84.4781395
8523.5	78.295
8524	75.8444186
8524.5	74.23
8525	69.9888372
8525.5	66.25
8526	69.2060465
8526.5	70.7682759
8527	69.4406897
8527.5	70.2475
8528	72.9127907
8528.5	75.55
8529	76.9813793
8529.5	77.395
8530	70.2804651
8530.5	60.91
8531	62.2837209
8531.5	63.9026718
8532	64.4064885
8532.5	64.99
8533	66.9574419
8533.5	71.275
8534	71.285814
8534.5	62.755
8535	57.49
8535.5	56.95
8536	56.7965116
8536.5	54.1027273
8537	46.5765116
8537.5	37.0925
8538	33.53
8538.5	33.53
8539	33.53
8539.5	33.53
8540	34.0175
8540.5	36.6381395
8541	41.99
8541.5	48.3493023
8542	55.8336364
8542.5	59.41
8543	64.84
8543.5	76.7993103
8544	82.8682759
8544.5	82.7590698
8545	80.53
8545.5	81.9148837
8546	84.4975
8546.5	86.0355172
8547	82.6217241
8547.5	78.6839535
8548	75.445
8548.5	73.0441379
8549	70.5786207
8549.5	71.7544828
8550	73.5325
8550.5	76.1468966
8551	77.2848276
8551.5	75.2074419
8552	73.4575573
8552.5	72.5758779
8553	71.6406897
8553.5	70.3131034
8554	72.34
8554.5	79.7353488
8555	84.04
8555.5	78.685
8556	66.8841379
8556.5	68.5910345
8557	70.975
8557.5	72.0686047
8558	70.885
8558.5	72.5168966
8559	74.6031034
8559.5	80.1410345
8560	82.4168966
8560.5	83.1565517
8561	80.3117241
8561.5	69.82
8562	61.4088372
8562.5	63.6903448
8563	67.39
8563.5	70.1039535
8564	73.5325
8564.5	76.3706897
8565	77.6982759
8565.5	76.9775862
8566	75.4603448
8566.5	73.0137931
8567	70.465
8567.5	67.6525
8568	67.1003448
8568.5	68.9968966
8569	70.7531034
8569.5	72.46
8570	71.11375
8570.5	70.92625
8571	71.8306977
8571.5	75.265
8572	73.5574419
8572.5	68.365
8573	65.425
8573.5	63.0682759
8574	62.12
8574.5	60.6937931
8575	58.6075862
8575.5	53.86
8576	49.3266667
8576.5	45.227931
8577	42.1934483
8577.5	38.8555172
8578	34.8727586
8578.5	30.3725
8579	32.6704651
8579.5	44.87
8580	54.9393023
8580.5	68.83
8581	74.2251163
8581.5	77.68
8582	79.405
8582.5	75.852093
8583	73.165
8583.5	76.75
8584	83.6646512
8584.5	86.0425
8585	87.9175
8585.5	85.2993023
8586	82.1362069
8586.5	79.7541379
8587	81.4610345
8587.5	81.745
8588	77.92
8588.5	72.5674419
8589	65.53
8589.5	67.7709302
8590	71.3106897
8590.5	73.03
8591	68.5455172
8591.5	67.5972414
8592	68.86
8592.5	68.4013793
8593	66.3151724
8593.5	67.7944828
8594	69.835
8594.5	72.0893846
8595	71.9624615
8595.5	71.8355385
8596	69.37
8596.5	71.0862791
8597	74.4720896
8597.5	74.7929851
8598	75.1138806
8598.5	74.8262791
8599	73.6983721
8599.5	69.585
8600	65.27
8600.5	63.9405882
8601	63.235
8601.5	63.985
8602	65.6083721
8602.5	68.1857143
8603	70.0861628
8603.5	68.3943023
8604	66.0564286
8604.5	61.7334884
8605	55.2660465
8605.5	49.6874419
8606	46.7602353
8606.5	44.2409302
8607	43.2028235
8607.5	43.9616471
8608	43.6696512
8608.5	42.7336047
8609	41.6129412
8609.5	39.872093
8610	35.2225581
8610.5	29.1471429
8611	24.6244186
8611.5	23.295
8612	22.6697647
8612.5	23.9991765
8613	26.202093
8613.5	29.9637209
8614	36.2495238
8614.5	41.3993023
8615	43.456
8615.5	45.8013953
8616	52.9904651
8616.5	62.4555814
8617	72.7621429
8617.5	75.9048837
8618	76.9958824
8618.5	77.7547059
8619	77.6076744
8619.5	76.1018605
8620	72.552093
8620.5	67.64
8621	65.2206977
8621.5	67.9919048
8622	70.5281395
8622.5	70.714186
8623	71.5595349
8623.5	74
8624	74.9418605
8624.5	76.3590698
8625	79.83
8625.5	82.0430409
8626	82.5138012
8626.5	82.9845614
8627	82.8386047
8627.5	79.1165116
8628	75.1011628
8628.5	73.7891765
8629	73.9774118
8629.5	74.556875
8630	75.1896875
8630.5	76.9446512
8631	75.7193023
8631.5	69.0171429
8632	63.2539535
8632.5	65.3904651
8633	68.2757143
8633.5	70.8239535
8634	73.8355814
8634.5	72.8748837
8635	69.4271429
8635.5	67.9546512
8636	65.1782353
8636.5	66.3194118
8637	67.7359302
8637.5	69.4277907
8638	71.6014286
8638.5	74.8611628
8639	77.6644186
8639.5	81.9085714
8640	87.2195349
8640.5	90.6144186
8641	92.3493023
8641.5	87.8172093
8642	83.3265116
8642.5	77.3997674
8643	72.3242857
8643.5	72.3709302
8644	74.2546512
8644.5	78.6113953
8645	84.5262791
8645.5	87.3005882
8646	85.7770588
8646.5	84.0095349
8647	80.8676744
8647.5	79.4914118
8648	76.5309302
8648.5	69.8602326
8649	64.8983721
8649.5	63.385
8650	63.66
8650.5	60.6933333
8651	58.2448837
8651.5	56.3611628
8652	57.3167442
8652.5	62.3171429
8653	68.3455814
8653.5	75.7204651
8654	78.0170588
8654.5	79.5405882
8655	78.3430233
8655.5	75.6153488
8656	73.3751563
8656.5	73.7540625
8657	74.1329687
8657.5	73.0630233
8658	70.8993023
8658.5	65.8723256
8659	67.4988235
8659.5	69.8555814
8660	71.7334884
8660.5	71.9787059
8661	70.4551765
8661.5	67.1904651
8662	65.1085714
8662.5	62.5137209
8663	60.257907
8663.5	61.1997674
8664	65.89
8664.5	71.6993023
8665	74.7309375
8665.5	75.7426563
8666	76.754375
8666.5	78.0322353
8667	79.5557647
8667.5	78.5952326
8668	77.0144186
8668.5	75.0228571
8669	72.8230233
8669.5	71.6990698
8670	72.8269767
8670.5	71.1361905
8671	66.6686047
8671.5	62.7295238
8672	60.6794186
8672.5	58.9875581
8673	61.6381395
8673.5	65.6
8674	73.6927907
8674.5	82.51
8675	82.9567188
8675.5	81.9489063
8676	80.9410937
8676.5	76.59
8677	72.2895349
8677.5	70.9575581
8678	72.6494186
8678.5	74.9204762
8679	78.1239535
8679.5	81.4895294
8680	83.966
8680.5	87.6927907
8681	90.266
8681.5	88.366
8682	84.1983721
8682.5	79.9695349
8683	76.0645882
8683.5	74.9234118
8684	75.954186
8684.5	80.0372093
8685	84.92
8685.5	82.9802353
8686	81.6508235
8686.5	79.175814
8687	75.2223256
8687.5	74.8545882
8688	76.1898824
8688.5	80.3713953
8689	86.0618605
8689.5	87.8084706
8690	89.332
8690.5	88.4839535
8691	86.414186
8691.5	80.2072093
8692	76.8565116
8692.5	71.3583721
8693	67.4443529
8693.5	64.7796471
8694	67.2664706
8694.5	70.9913953
8695	74.8197674
8695.5	74.294186
8696	69.4778571
8696.5	66.0204651
8697	66.86
8697.5	68.6428571
8698	72.0516279
8698.5	71.6213953
8699	68.5367442
8699.5	67.0516667
8700	67.375
8700.5	68.1833333
8701	70.7034884
8701.5	73.7151163
8702	75.6418824
8702.5	76.7830588
8703	75.4260465
8703.5	73.4586047
8704	69.59
8704.5	65.7667442
8705	63.3248837
8705.5	64.91
8706	66.7244186
8706.5	63.1595294
8707	62.2124706
8707.5	62.3506977
8708	63.6646512
8708.5	62.9696471
8709	61.3586047
8709.5	57.367907
8710	60.552
8710.5	61.8814118
8711	64.2874419
8711.5	66.1245349
8712	67.7242857
8712.5	70.1412281
8713	70.2377193
8713.5	70.3342105
8714	70.4307018
8714.5	67.1383721
8715	60.2509524
8715.5	50.3313953
8716	55.5188372
8716.5	65.1886047
8717	73.4714286
8717.5	75.988062
8718	77.619845
8718.5	76.8257143
8719	64.2190698
8719.5	45.0148837
8720	31.128
8720.5	19.9044706
8721	19.5854386
8721.5	19.4889474
8722	19.3924561
8722.5	21.0365116
8723	24.6041176
8723.5	28.41
8724	39.0927907
8724.5	50.6481395
8725	59.1071765
8725.5	63.6718824
8726	63.7318605
8726.5	62.04
8727	66.1004651
8727.5	67.2283721
8728	68.2792941
8728.5	69.2322353
8729	69.7553488
8729.5	70.2819048
8730	76.0398837
8730.5	71.1503488
8731	67.9850588
8731.5	66.8438824
8732	67.2357364
8732.5	68.1117054
8733	68.5218824
8733.5	66.8101176
8734	67.9069767
8734.5	72.2772093
8735	77.16
8735.5	80.0001562
8736	82.6525
8736.5	82.5918605
8737	76.9523256
8737.5	68.6369767
8738	65.5284706
8738.5	64.3902326
8739	65.5181395
8739.5	66.7971429
8740	66.6602326
8740.5	64.9683721
8741	60.6723529
8741.5	56.8967442
8742	63.5748837
8742.5	69.3461176
8743	74.0990588
8743.5	72.2990698
8744	65.8706977
8744.5	59.8293023
8745	57.9954688
8745.5	57.3626563
8746	56.7298437
8746.5	54.7004651
8747	51.7502326
8747.5	55.6042353
8748	61.6381395
8748.5	69.1274419
8749	69.625625
8749.5	68.7428125
8750	67.86
8750.5	71.2492941
8751	74.6728235
8751.5	78.4113953
8752	79.8577344
8752.5	79.3538281
8753	78.7697674
8753.5	74.5576744
8754	73.0135156
8754.5	74.0252344
8755	75.0369531
8755.5	74.4555294
8756	73.2246512
8756.5	70.2445882
8757	69.1034118
8757.5	69.23
8758	70.0343023
8758.5	70.4122093
8759	69.8804687
8759.5	69.2476562
8760	69.9804651
8760.5	73.7742857
8761	70.4851163
8761.5	61.2023256
8762	48.4335714
8762.5	29.4167442
8763	22.255814
8763.5	21.9029412
8764	25.7088235
8764.5	33.3909302
8765	47.5519048
8765.5	67.4713953
8766	70.9444186
8766.5	71.4998824
8767	69.7881176
8767.5	67.0104651
8768	65.4444186
8768.5	64.8542857
8769	67.895814
8769.5	71.0181395
8770	70.836
8770.5	69.5065882
8771	69.48
8771.5	69.48
8772	66.7939535
8772.5	64.8232558
8773	66.3290698
8773.5	64.8109412
8774	62.3783721
8774.5	60.9944706
8775	67.6532941
8775.5	70.668062
8776	71.044031
8776.5	71.42
8777	73.1317647
8777.5	74.6125581
8778	75.5544186
8778.5	75.1755294
8779	73.8402353
8779.5	70.1430952
8780	71
8780.5	70.5
8781	70
8781.5	71.65
8782	76.9588372
8782.5	76.6529687
8783	75.6451562
8783.5	73.1890698
8784	71.3486047
8784.5	74.395814
8785	74.4327059
8785.5	72.9309302
8786	65.21
8786.5	53.9332558
8787	44.8111628
8787.5	40.1134884
8788	29.7664286
8788.5	24.1040698
8789	21.5904706
8789.5	28.8198824
8790	37.9616279
8790.5	52.8362791
8791	59.8293023
8791.5	65.9095349
8792	71.6713953
8792.5	75.4316279
8793	77.6345882
8793.5	78.3934118
8794	76.9948837
8794.5	76.5529412
8795	76.3183721
8795.5	76.5044186
8796	78.255
8796.5	82.0736047
8797	86.2073256
8797.5	88.3422353
8798	89.5315
8798.5	88.0351724
8799	86.1501149
8799.5	84.8221839
8800	83.69
8800.5	84.0635632
8801	84.209
8801.5	83.7051538
8802	83.2013077
8802.5	83.03
8803	83.03
8803.5	79.5665116
8804	76.2995455
8804.5	72.9438462
8805	71.1746154
8805.5	69.4053846
8806	72.4848837
8806.5	77.6754545
8807	80.1510345
8807.5	78.0763218
8808	75.7737209
8808.5	73.5209091
8809	71.142093
8809.5	68.4734884
8810	64.8788372
8810.5	62.5395455
8811	60.0227907
8811.5	59.0712644
8812	59.8241379
8812.5	62.1906977
8813	64.8659091
8813.5	68.1732558
8814	73.5145455
8814.5	76.9646512
8815	77.4490805
8815.5	76.1272414
8816	74.8054023
8816.5	73.5367442
8817	74.8739535
8817.5	75.2509091
8818	72.245814
8818.5	68.3463636
8819	70.1244186
8819.5	74.6367442
8820	81.065814
8820.5	83.5009302
8821	79.0472727
8821.5	72.1046512
8822	66.8315909
8822.5	63.9809302
8823	66.6870455
8823.5	70.2113953
8824	75.7022727
8824.5	81.4697674
8825	80.2260465
8825.5	77.4781609
8826	75.5931034
8826.5	76.9008046
8827	78.7193023
8827.5	81.7461364
8828	85.1144186
8828.5	85.5089655
8829	83.623908
8829.5	77.45
8830	72.6388636
8830.5	66.6814943
8831	68.1872414
8831.5	70.1011628
8832	72.1462791
8832.5	72.9805747
8833	73.6893182
8833.5	76.7239535
8834	79.9681395
8834.5	78.9704545
8835	75.6877907
8835.5	74.3563953
8836	74.1046083
8836.5	74.0285714
8837	73.9525346
8837.5	73.8764977
8838	74.5273563
8838.5	75.8491954
8839	71.7702273
8839.5	68.5132558
8840	66.8044828
8840.5	66.0516092
8841	63.7830233
8841.5	59.2056818
8842	52.4104651
8842.5	42.1027273
8843	35.8256322
8843.5	33.181954
8844	33.9639535
8844.5	41.3147727
8845	65.3555814
8845.5	81.0569767
8846	85.1017241
8846.5	87.6483908
8847	85.7633333
8847.5	83.2434483
8848	79.8468966
8848.5	80.7090698
8849	83.5753488
8849.5	81.5162069
8850	78.765
8850.5	73.8609302
8851	70.4275862
8851.5	69.4850575
8852	64.7225581
8852.5	56.6654545
8853	52.3816092
8853.5	53.8931034
8854	57.0883721
8854.5	66.5265116
8855	76.6413636
8855.5	85.1555814
8856	90.3532558
8856.5	92.074186
8857	91.8152273
8857.5	87.4925581
8858	82.4506977
8858.5	78.3018182
8859	73.5590805
8859.5	69.5148837
8860	71.8055814
8860.5	74.0754545
8861	77.1332558
8861.5	81.6325
8862	85.3846512
8862.5	88.8268966
8863	86.9418391
8863.5	84.9354023
8864	82.6710345
8864.5	83.7095349
8865	90.8472727
8865.5	99.5944186
8866	101.684091
8866.5	94.1248837
8867	83.1922727
8867.5	78.3254651
8868	76.7963953
8868.5	79.9522727
8869	85.2695402
8869.5	83.758046
8870	80.5232558
8870.5	73.345
8871	66.3816279
8871.5	57.9060465
8872	44.8422727
8872.5	51.5004545
8873	61.5053488
8873.5	73.9481395
8874	84.1854545
8874.5	86.7797692
8875	87.5374615
8875.5	88.1883721
8876	83.3441379
8876.5	77.12
8877	70.9460465
8877.5	65.5427273
8878	60.8746512
8878.5	56.607907
8879	47.9418391
8879.5	52.4648276
8880	58.695814
8880.5	67.3269767
8881	67.4540909
8881.5	64.5948837
8882	63.66
8882.5	64.6134884
8883	66.3468182
8883.5	69.3527907
8884	71.2597674
8884.5	77.4490909
8885	83.6760465
8885.5	88.5276744
8886	81.885814
8886.5	76.9551724
8887	73.5586207
8887.5	70.6318182
8888	66.0488372
8888.5	62.35
8889	59.9034884
8889.5	61.4325581
8890	65.1863636
8890.5	70.7727907
8891	69.98
8891.5	71.6253488
8892	74.3711364
8892.5	77.4593103
8893	79.3443678
8893.5	78.2204651
8894	74.9366667
8894.5	72.861954
8895	67.3923256
8895.5	64.0513636
8896	63.5416279
8896.5	69.3102273
8897	76.2860465
8897.5	85.5990698
8898	87.6586207
8898.5	87.3149425
8899	87.6885057
8899.5	87.6081395
8900	87.955
8900.5	88.2953488
8901	83.9453488
8901.5	76.1381818
8902	70.9861364
8902.5	69.534186
8903	70.8713953
8903.5	72.3877011
8904	74.0831034
8904.5	74.3502299
8905	74.124186
8905.5	71.6618182
8906	67.7455814
8906.5	62.2423256
8907	60.7636364
8907.5	63.9613953
8908	68.3213636
8908.5	75.3025581
8909	76.4625
8909.5	75.5444828
8910	75.7341379
8910.5	77.8681395
8911	83.2860465
8911.5	86.31
8912	84.3493023
8912.5	83.2278161
8913	85.1128736
8913.5	89.2077273
8914	94.0104651
8914.5	93.9290698
8915	95.9206897
8915.5	97.4321839
8916	96.9939535
8916.5	93.911954
8917	92.5901149
8917.5	90.5706977
8918	87.63
8918.5	82.5813953
8919	77.1004545
8919.5	76.1317442
8920	77.8468605
8920.5	80.4025
8921	82.2389655
8921.5	83.6288372
8922	82.0997674
8922.5	81.4829885
8923	82.8048276
8923.5	84.6886047
8924	86.9418182
8924.5	92.427907
8925	97.1630233
8925.5	98.5811628
8926	92.6729545
8926.5	86.2655814
8927	84.9432184
8927.5	85.8857471
8928	101.283636
8928.5	104.862558
8929	101.240465
8929.5	98.9581609
8930	100.090345
8930.5	100.164483
8931	99.7851724
8931.5	98.1184091
8932	90.7797674
8932.5	78.7634884
8933	66.5973563
8933.5	58.672069
8934	59.0631034
8934.5	62.1574419
8935	69.4809091
8935.5	77.7427907
8936	78.5195455
8936.5	73.7851163
8937	68.3018605
8937.5	68.353908
8938	70.1504651
8938.5	76.795
8939	81.3076744
8939.5	86.1936364
8940	86.6753488
8940.5	84.5688372
8941	85.3363218
8941.5	86.9368182
8942	92.6323256
8942.5	102.711395
8943	111.606591
8943.5	113.13407
8944	111.988721
8944.5	109.613218
8945	106.593678
8945.5	101.312069
8946	87.5751163
8946.5	69.6009091
8947	56.5630233
8947.5	45.4963636
8948	41.837931
8948.5	45.9873563
8949	53.4911628
8949.5	67.2660465
8950	80.8175
8950.5	88.4516279
8951	91.407907
8951.5	95.6651724
8952	100.193908
8952.5	99.8751163
8953	93.9006818
8953.5	87.1409302
8954	78.6055814
8954.5	77.9362308
8955	77.4323846
8955.5	78.9638636
8956	82.5221839
8956.5	84.7865517
8957	81.5565116
8957.5	75.6966667
8958	72.8633333
8958.5	71.1644828
8959	72.1127586
8959.5	74.0211628
8960	68.2972727
8960.5	62.7059302
8961	59.1554545
8961.5	67.1546512
8962	76.7336364
8962.5	86.5193023
8963	93.2702299
8963.5	97.6093103
8964	99.7888506
8964.5	100.902907
8965	97.280814
8965.5	92.5168182
8966	85.4746512
8966.5	78.3569767
8967	74.0636364
8967.5	74.9042529
8968	76.8030233
8968.5	81.5072093
8969	84.2334483
8969.5	85.3656322
8970	87.0390909
8970.5	86.7575385
8971	86.1267692
8971.5	85.1626744
8972	83.2498837
8972.5	81.6593103
8973	80.3432184
8973.5	80.9709091
8974	77.0765517
8974.5	70.8524138
8975	62.7093023
8975.5	54.0025581
8976	50.6975862
8976.5	48.2435632
8977	53.0404545
8977.5	67.2793023
8978	79.9702273
8978.5	88.2752874
8979	94.3155172
8979.5	95.634186
8980	94.2969767
8980.5	89.3786047
8981	83.8437209
8981.5	78.6472727
8982	77.4675862
8982.5	80.4848276
8983	83.5266279
8983.5	86.5789535
8984	89.3095349
8984.5	83.5954545
8985	78.8086047
8985.5	78.6167442
8986	83.5054545
8986.5	87.285814
8987	89.4942529
8987.5	86.8505747
8988	83.6568182
8988.5	80.2590698
8989	80.7942529
8989.5	83.2482759
8990	84.7691954
8990.5	86.1939535
8991	88.8683721
8991.5	91.9393103
8992	95.7151724
8992.5	96.9139231
8993	96.5331538
8993.5	96.1302273
8994	93.887907
8994.5	87.015814
8995	73.16
8995.5	53.6911628
8996	44.2481818
8996.5	45.8823256
8997	49.854023
8997.5	57.7793103
8998	69.1062791
8998.5	86.9846667
8999	95.0230233
8999.5	95.9765116
9000	90.88
9000.5	87.7913953
9001	84.0537209
9001.5	79.974186
9002	77.2083908
9002.5	74.9555172
9003	76.5713953
9003.5	79.4737209
9004	87.042093
9004.5	97.0627907
9005	107.313023
9005.5	108.044884
9006	102.958837
9006.5	96.247907
9007	93.4409302
9007.5	92.0595349
9008	91.675814
9008.5	91.2956977
9009	90.9177907
9009.5	91.1067442
9010	91.3586822
9010.5	92.0063636
9011	90.9188372
9011.5	86.5525581
9012	80.9513953
9012.5	77.49
9013	74.5509302
9013.5	72.0602326
9014	69.0253488
9014.5	65.4054545
9015	61.0004651
9015.5	45.8490698
9016	39.3174419
9016.5	35.5651163
9017	39.1697674
9017.5	48.0106977
9018	62.4372093
9018.5	70.0574713
9019	76.4188372
9019.5	89.0281395
9020	91.7237209
9020.5	92.2934884
9021	91.8034884
9021.5	90.6639535
9022	89.3574419
9022.5	83.3590698
9023	75.1418182
9023.5	68.7704651
9024	65.7295349
9024.5	65.1597674
9025	63.445
9025.5	62.2348837
9026	66.8651163
9026.5	75.1239535
9027	79.9209091
9027.5	79.5876744
9028	77.8783721
9028.5	74.8965116
9029	71.4960465
9029.5	66.0718605
9030	64.5676744
9030.5	67.7330233
9031	70.1632558
9031.5	73.0467442
9032	75.4025581
9032.5	80.1290698
9033	83.9444186
9033.5	85.7202326
9034	85.0923256
9034.5	83.0690698
9035	81.8155172
9035.5	84.0683908
9036	83.6569767
9036.5	79.8546512
9037	75.5081395
9037.5	74.055
9038	73.2003468
9038.5	72.9171098
9039	72.6338728
9039.5	72.3506358
9040	72.777907
9040.5	73.5395349
9041	74.7752326
9041.5	73.8275581
9042	73.1913953
9042.5	73.0634884
9043	72.9355814
9043.5	73.664023
9044	74.6637209
9044.5	76.2939535
9045	76.8637209
9045.5	76.2502326
9046	74.9388372
9046.5	73.9853488
9047	74.0051163
9047.5	74.1330233
9048	73.4990805
9048.5	71.2462069
9049	68.8702326
9049.5	66.4051163
9050	67.365
9050.5	69.0948837
9051	71.5453488
9051.5	72.4930233
9052	78.5227273
9052.5	87.154186
9053	89.8390698
9053.5	91.3809302
9054	93.0902326
9054.5	92.8509302
9055	89.2327907
9055.5	87.187907
9056	86.0483721
9056.5	84.9211494
9057	82.575814
9057.5	74.8409302
9058	68.2962791
9058.5	67.1786047
9059	66.2067442
9059.5	64.6434884
9060	61.9137209
9060.5	59.1669231
9061	57.0323077
9061.5	54.8976923
9062	57.3055814
9062.5	64.1
9063	73.1744186
9063.5	75.8072093
9064	74.475814
9064.5	72.4191954
9065	69.7927586
9065.5	71.1888372
9066	74.0423256
9066.5	74.835814
9067	73.3183721
9067.5	70.6127907
9068	67.815814
9068.5	70.6995349
9069	75.1895349
9069.5	80.1337209
9070	83.2913953
9070.5	86.1323256
9071	89.4095349
9071.5	94.8430233
9072	91.5409302
9072.5	83.7693023
9073	77.6945455
9073.5	73.695814
9074	71.2686047
9074.5	69.5593023
9075	71.93
9075.5	77.4160465
9076	82.1295349
9076.5	86.9124138
9077	89.9181609
9077.5	89.8481395
9078	88.3306977
9078.5	84.214186
9079	80.5225581
9079.5	79.5748837
9080	76.7497674
9080.5	71.6927907
9081	68.202093
9081.5	65.2632558
9082	62.984186
9082.5	64.71
9083	72.7476744
9083.5	78.4946512
9084	81.7937209
9084.5	83.2582558
9085	86.057907
9085.5	91.4286207
9086	88.0493103
9086.5	81.5651163
9087	75.5618605
9087.5	71.28
9088	65.1027907
9088.5	57.3083721
9089	44.4983721
9089.5	35.4390909
9090	37.9834884
9090.5	48.5988372
9091	58.1297674
9091.5	63.4646512
9092	67.2132558
9092.5	69.8551163
9093	72.3797674
9093.5	76.5565116
9094	81.0918605
9094.5	85.8406977
9095	86.794186
9095.5	88.1997674
9096	90.0951163
9096.5	91.2746512
9097	92.1290698
9097.5	90.2646512
9098	86.6345455
9098.5	82.3444186
9099	76.9027907
9099.5	69.4567442
9100	72.91
9100.5	76.6175581
9101	75.1001163
9101.5	72.9575862
9102	69.9518391
9102.5	64.6016279
9103	60.6367442
9103.5	57.0539535
9104	48.7855814
9104.5	40.8088372
9105	38.6609302
9105.5	41.8934884
9106	46.484186
9106.5	71.8953488
9107	81.1627907
9107.5	82.0883721
9108	73.4013953
9108.5	67.0618605
9109	68.3665116
9109.5	71.8527907
9110	78.265814
9110.5	83.5097701
9111	82.9465517
9111.5	82.3795349
9112	81.8097674
9112.5	83.37
9113	84.6809302
9113.5	81.6562791
9114	75.2834884
9114.5	70.0329885
9115	67.2168966
9115.5	57.6804651
9116	51.6934884
9116.5	45.5967442
9117	43.5496512
9117.5	46.2066279
9118	58.1381395
9118.5	71.507907
9119	80.725814
9119.5	85.2793023
9120	86.2561628
9120.5	83.2154651
9121	83.1197674
9121.5	84.8290698
9122	88.4168605
9122.5	91.3613793
9123	90.4245977
9123.5	88.1451163
9124	84.1567442
9124.5	76.6144186
9125	67.69
9125.5	66.7423256
9126	66.6965116
9126.5	68.9697674
9127	72.2609091
9127.5	73.3090698
9128	73.8645349
9128.5	74.4732558
9129	72.6146512
9129.5	68.5997674
9130	66.7044186
9130.5	65.0546512
9131	62.0151163
9131.5	59.514023
9132	55.7367442
9132.5	47.2688372
9133	41.147907
9133.5	40.5640698
9134	42.6512791
9134.5	48.1246512
9135	58.1995349
9135.5	70.8672727
9136	79.1960465
9136.5	86.1330233
9137	88.3502326
9137.5	88.92
9138	86.8327907
9138.5	84.6381395
9139	82.1672093
9139.5	84.1981818
9140	87.6602326
9140.5	90.1311628
9141	88.4048837
9141.5	85.0455814
9142	78.0806977
9142.5	76.3160465
9143	76.5
9143.5	76
9144	75.5072093
9144.5	75.1273643
9145	74.7475194
9145.5	72.362093
9146	67.4506977
9146.5	62.3227907
9147	59.2986047
9147.5	61.7637209
9148	65.8145455
9148.5	69.5248837
9149	68.5132558
9149.5	67.5016279
9150	64.1
9150.5	66.3790698
